c1cc2ccc3cccc4c3c2c(c1)cc4CCCCc5ccc(c(c5)O)O,5,P10000005
Cc1cc(c(c(c1)Br)N[C@H](C)c2ccc(cc2)F)Br,C20487399,P30536085
C[C@H](c1ccc(cc1)Cl)Nc2c(cc(cc2Cl)Br)Cl,C20505695,P30571026
C[C@@H](c1cc(ccc1Cl)Cl)Nc2ccc(cc2F)Br,C21009758,P31378814
C[C@H](c1ccc(c(c1)Cl)F)N[C@H](C)c2ccc(cc2Cl)Cl,C21008861,P31440712
c1ccc(cc1)[C@H](C2CCCCC2)Nc3ccc(cc3)Br,C21518309,P32083220
CCN[C@H](c1cc(cc(c1)Cl)Cl)c2c(cc(cc2C)C)C,C35547937,P52774439
Cc1cc(ccc1Br)N[C@@H](C)c2c(ccc(c2Cl)F)Cl,C35790118,P53118618
c1cc(ccc1C2CC(C2)Nc3c(cc(cc3Br)F)F)F,C36846093,P54755752
C[C@H](c1ccc(cc1)C(C)(C)C)N[C@H](C)c2ccc(s2)Cl,C36921641,P54891248
Cc1ccc(cc1NC2CC(C2)c3ccccc3F)Br,C37091468,P55142629
Cc1cc(c(c(c1)C)[C@H](C)Nc2cc(ccc2Br)Br)C,C37121830,P55193421
C[C@@H](c1ccc(cc1Cl)F)N[C@@H](C)c2ccc(cc2Cl)Cl,C37201449,P55319508
Cc1cc(ccc1N[C@H](C)c2ccc(c(c2Cl)Cl)Cl)Cl,C37217164,P55337131
C[C@@H](c1ccc(cc1)Cl)N[C@H](C)c2ccc(c(c2Cl)Cl)Cl,C37218023,P55344369
C[C@@H](c1ccc(cc1)Cl)N[C@H](C)c2ccc(cc2)I,C37217997,P55347410
C[C@H](c1ccc(cc1)Cl)N[C@H](c2ccc(cc2)Cl)C3CC3,C37218044,P55347459
c1c(cc(c(c1Cl)NC[C@@H]2C[C@H]3C[C@@H]2C=C3)Cl)Br,C37249114,P55390511
c1cc(ccc1[C@H](C2CC2)Nc3c(cc(cc3Br)F)F)Cl,C37253148,P55394591
c1cc(sc1)C(c2cccs2)Nc3c(cc(cc3Br)F)F,C37253180,P55394623
C[C@H](c1ccc(c(c1Cl)Cl)Cl)N[C@H](C)c2ccc(s2)Cl,C37284620,P55442370
C[C@@H](c1c(ccs1)Br)NC2CCC(CC2)c3ccccc3,C37271824,P55443488
CC(C)[C@H](c1cccs1)Nc2ccc(cc2Cl)I,C37313743,P55484138
C[C@H](C1CCCCC1)Nc2cc(ccc2Br)Br,C37314756,P55485162
Cc1ccc(c(c1)[C@H](C)N[C@H](C)c2ccc(c(c2)Br)F)C,C37313341,P55499647
C[C@H]1CCC[C@@H](C1)N[C@@H](c2cccs2)c3ccc(s3)Cl,C37414815,P55639526
Cc1ccc(c(c1)[C@H](C)N[C@@H](C)c2ccc(s2)Br)C,C38003044,P57121823
C[C@H](c1c(ccc(c1Cl)F)Cl)Nc2ccccc2C(C)C,C35790093,P60954663
Cc1ccsc1[C@H](C)Nc2c(cc(cc2Cl)Br)Cl,C70090158,P108040287
C[C@@H]1CC[C@H]([C@@H](C1)C)N[C@@H](C)c2ccc(c(c2Cl)Cl)Cl,C70111871,P108075306
Cc1cc(c(c(c1)C)[C@@H](c2cc(c(cc2C)Br)C)NC)C,C70470530,P108700596
Cc1cc(ccc1[C@@H](c2cc(c(cc2C)Cl)C)NC)Br,C70475157,P108714774
C[C@@H](c1ccc(cc1Br)Br)NCc2ccc(s2)Cl,C71307653,P110233415
c1c(cc(c(c1Cl)N[C@@H]2CCC[C@@H](C2)C3CC3)Cl)Cl,C81626861,P127345607
c1c(cc(c(c1Cl)N[C@@H]2CCC[C@@H](C2)C3CC3)Cl)Br,C81626875,P127345621
Cc1cc(c(c(c1)Br)N[C@@H]2CCC[C@@H](C2)C3CC3)Br,C83928260,P131304550
CC[C@H]1CCC[C@H](CC1)Nc2ccc(cc2C)I,C86901235,P136025701
CC[C@@H]1CCC[C@@H](CC1)Nc2cc(ccc2Cl)Br,C86908642,P136033112
CCC[C@@H]1CCC[C@@H](CC1)Nc2c(cc(cc2C)Br)C,C86944072,P136086827
CC(C)(C)[C@@H]1CCC[C@H](CC1)Nc2ccc(cc2Br)F,C86955153,P136103313
CC(C)(C)[C@H]1CCC[C@@H](CC1)Nc2ccc(cc2Cl)Br,C86955300,P136103539
CC(C)(C)[C@@H]1CCC[C@@H](CC1)Nc2c(cc(cc2Br)F)F,C86955306,P136103548
C[C@@H](c1ccccc1Br)N[C@H]2CCC[C@@H](CC2)C(C)(C)C,C86955636,P136125642
C[C@H]1CC[C@@H]([C@@H](C1)Nc2c(cc(cc2F)Br)F)C(C)C,C88166839,P137880819
c1c(cc(c(c1F)N[C@H]2CCC[C@H](C2)C3CC3)F)Br,C88167468,P137881448
CC(C)(C)[C@@H]1CCC[C@@H](CC1)Nc2c(cc(cc2F)Br)F,C88167640,P137881620
Cc1cc(cc(c1)F)N[C@H](C)c2ccc(c(c2Cl)Cl)Cl,C91510294,P143201332
C[C@H](c1ccc(s1)Cl)Nc2ccc(c(c2)Br)Cl,C94667891,P148385311
CC[C@H]1CC[C@@H]([C@@H]1C)NCc2c(ccc(c2Cl)Cl)Cl,C96851043,P153222512
CC[C@@H]1CC[C@H]([C@@H]1C)NCc2c(ccc(c2Cl)Cl)Cl,C96851044,P153222514
CN[C@H](c1cc(c(cc1F)Br)Cl)C2CCCCCCC2,C97893314,P155382176
