CC1(CCc2c(cc3c(c2O1)cccc3OCc4ccccc4)Cn5cnnn5)C,1,P10000001
c1ccc(cc1)c2c(nc(o2)c3ccccc3)n4ccc(nc4=O)N5CCCCC5,C00625237,P05095109
Cc1ccccc1n2c(nc3ccccc3c2=O)/C=C/c4ccc(cc4)[N+](=O)[O-],C04419833,P05949257
COc1ccc(cc1OC)c2nc3c(s2)nc(s3)c4ccc(c(c4)OC)OC,C01082924,P06323223
c1ccc(c(c1)/C=C/C=C\2/C(=O)OC(=N2)c3ccc(cc3Cl)Cl)[N+](=O)[O-],C03011654,P06683193
CC[C@@H](C)OC(=O)C1[C@@H](C2=C(CCCC2=O)N=C1C)c3cc4c(cc3Cl)OCO4,C04719042,P06747364
CC(C)(C)c1ccc(cc1)C(=O)N2CCC[C@@H](C2)c3nc(no3)c4ccc(cc4)OC,C01362702,P07124534
CCCn1cnc2c(c1=O)c3c(n2c4ccc(cc4)CC)nc5ccccc5n3,C02407380,P07628217
COc1ccc(cc1)/C=N/N(c2nc3ccc(cc3s2)Cl)C(=O)c4ccco4,C05188127,P07668268
c1ccc(cc1)[C@@H]2CC(=NN2C(=O)c3ccc(c(c3)[N+](=O)[O-])Cl)c4ccccc4,C05445039,P08062917
CN(C)N\1C(=O)/C(=C\c2cc(ccc2OC)OC)/S/C1=N\c3ccccc3,C04491584,P10534193
CCOCCn\1c2c(cccc2s/c1=N\C(=O)c3cc4ccccc4oc3=O)C,C07380670,P11449993
CCOc1cc(cc(c1OC)Cl)/C=C/c2nc3cc(ccc3s2)[N+](=O)[O-],C07746371,P11885154
CC1=C([C@H]([C@@H]2C(=N1)C[C@H](CC2=O)c3ccccc3)c4ccc5c(c4)OCO5)C(=O)OC,C00822061,P12911782
CC(=C)Cc1c(ccc2c1c3ccnc4c3n2c(=O)c5c4ccc(c5OC)OC)OC,C08792451,P13633591
Cc1cc2c(cc1C)s/c(=N\S(=O)(=O)c3ccc(cc3)F)/n2CC(=O)OC,C08967108,P13769712
CCc1ccc(cc1)N2C(=O)N(c3ccccc3S2(=O)=O)Cc4ccccc4C#N,C09664090,P14802888
CCOC(=O)Cn\1c2c(cc(cc2Cl)Cl)s/c1=N\C(=O)c3ccco3,C09767196,P14944621
CCOC(=O)Cn\1c2c(cccc2s/c1=N\C(=O)c3ccc(cc3)N(C)C)C,C09767720,P14945307
Cc1ccc2c(c1)s/c(=N\C(=O)c3ccc(s3)[N+](=O)[O-])/n2CCSC,C07571074,P19626657
Cc1cc(nc2c1c3nc(cc(n3n2)C(=O)OC)c4ccccc4F)C(F)(F)F,C13645685,P21006144
CCCCOc1ccc(cc1)/C=c\2/c(=O)n3c(s2)nc(=O)c(n3)c4ccccc4,C13786182,P21228807
Cc1cc(c2c(c1)s/c(=N\C(=O)CN3C(=O)c4ccccc4C3=O)/n2CC=C)C,C13951090,P21465777
CCN(CC)c1ccc(cc1)/N=C/2\c3nc4cnccc4n3N=C2c5ccccc5,C16678187,P28288098
C[C@@H](c1nnc(o1)c2cccs2)Sc3c4ccccc4nc(n3)c5ccco5,C22188863,P33003192
C[C@@H](c1nc(no1)C(C)(C)C)Sc2nc3ccsc3c(=O)n2c4ccccc4,C24770474,P36663386
c1cc(cc(c1)Cl)c2ccc(s2)CN3CCN(CC3)c4ccc(cn4)[N+](=O)[O-],C30520203,P44900252
CCCCSc1nc2c(nn1)-c3ccccc3N([C@@H](O2)c4cccs4)C(=O)C,C32997127,P48842879
CC(C)c1cc(no1)[C@H]2CCCN2C(=O)c3cc(on3)c4cccc(c4)Cl,C33269780,P49201293
Cc1ccc(c2c1s/c(=N\C(=O)C3CCCCC3)/n2CCC(=O)OC)OC,C07515376,P53437509
Cc1cccc(c1)[C@@H](C)N(c2ccccc2)S(=O)(=O)c3ccc(cc3)[N+](=O)[O-],C36247712,P53856307
Cc1cc2c(cc1C)s/c(=N\C(=O)c3cnc4ccccc4n3)/n2CCOC,C36698831,P58792881
CCOCCn\1c2ccc(cc2s/c1=N\C(=O)[C@@H]3[C@H](Oc4ccccc4O3)C)F,C38830280,P58828352
CCc1ccc(cc1)N2C[C@H](CC2=O)c3nc(no3)c4ccc(cc4)OC(F)(F)F,C38913001,P58950881
CC(C)Oc1ccc(cc1)c2nc(on2)[C@H]3CC(=O)N(C3)c4cccc5c4CCCC5,C38913308,P58951188
CCCOc1ccc(cc1)c2nc(on2)[C@@H]3CC(=O)N(C3)c4ccc(c(c4)Cl)C,C38920364,P58964189
c1ccc(cc1)C2=C[C@@H](N=N2)[C@@H]3N=N[C@@H](N3/N=C/c4c(cccc4Cl)Cl)S,C39590507,P60026428
COc1ccc(cc1)C2=N[C@@H](N=C(S2)c3ccccc3)c4ccc(cc4)[N+](=O)[O-],C59488716,P90539943
CC(C)c1ccc(cc1)S(=O)(=O)N2CCC[C@@H]2c3nc(no3)c4cccc(c4)F,C65320848,P100403284
COc1ccc(c(c1)[N+](=O)[O-])OC(=O)c2cc(ccc2Cl)Br,C68720409,P105474331
CC(C)(C)c1ccc(cc1)c2nc(on2)C3CCN(CC3)C(=O)OC(C)(C)C,C71768123,P111203592
CC(C)(C)c1cc2nc(cc(n2n1)C(F)(F)F)[C@H]3CCCN(C3)C(=O)c4ccco4,C72341104,P112455923
