CC1(CCc2c(cc3c(c2O1)cccc3OCc4ccc(cc4)C#N)c5nnco5)C,4,P10000005
c1cc(ccc1c2csc(n2)c3cc4cc(cc(c4oc3=O)Cl)Cl)[N+](=O)[O-],C04020333,P04971981
c1cc(c(cc1c2csc(n2)c3cc4cc(ccc4oc3=O)[N+](=O)[O-])Cl)Cl,C02496646,P04972199
c1cc(c(cc1N2CCSCC2)Oc3nc4cc(ccc4s3)Cl)[N+](=O)[O-],C04300356,P05658303
CC(=O)C1=C(N(n2c(nnc2S1)c3ccc(cc3)Cl)C(=O)C)c4ccccc4,C04518264,P06138554
c1ccc(cc1)N2[C@@H](CC(=N2)/C=C/c3ccc4c(c3)OCO4)c5ccc6c(c5)OCO6,C04600048,P06320499
CC(C)CCO[C@H]1[C@H](O[C@H]2[C@@H]1OC3(O2)CCCCC3)[C@H]4COC5(O4)CCCCC5,C04661865,P06548610
Cc1ccc2c(c1)c(no2)Cc3nn4c(nnc4s3)c5ccc(cc5)C(F)(F)F,C00633090,P06550587
CC(C)(C)c1ccc(cc1)c2nnc3n2nc(s3)c4ccc5c(c4)OCCO5,C04664903,P06559910
Cc1c(c(on1)/C=C\c2cn(c3c2cccc3)Cc4ccccc4Cl)[N+](=O)[O-],C04809899,P06955557
c1cc(sc1)C2=NN3[C@H](C2)c4cc(ccc4O[C@@H]3c5ccc(cc5)[N+](=O)[O-])Cl,C04854275,P07053184
c1ccc2c(c1)nc3c4c(ncn(c4=O)C5CCCCC5)n(c3n2)CCC6=CCCCC6,C02319500,P07107585
Cc1ccc(cc1)c2nc(cs2)CSc3nnc(o3)c4ccc5c(c4)OCO5,C03449752,P07373640
CC(C)Cc1ccc(cc1)c2csc(n2)c3cc4cccc(c4oc3=O)[N+](=O)[O-],C02207354,P07385884
c1ccc2c(c1)[C@H]3CC(=NN3[C@@H](O2)c4ccc(cc4)[N+](=O)[O-])c5ccccc5Cl,C05739535,P08572349
Cc1ccc(cc1)c2csc3c2c(ncn3)Oc4ccc(cc4Cl)[N+](=O)[O-],C03370148,P10346368
CCOC(=O)C1=C(N=c2n(c(=O)/c(=C/c3ccc(o3)C)/s2)[C@H]1c4ccc(cc4)C)C,C00665022,P13430934
CC1=C([C@@H]([C@H]2C(=N1)C[C@@H](CC2=O)c3ccc(cc3)Cl)c4ccc(cc4)[N+](=O)[O-])C#N,C08780634,P13484740
C=C1C([C@@H](C2C(=N1)C[C@H](CC2=O)c3ccc(cc3)Cl)c4ccc(cc4)[N+](=O)[O-])C#N,C08780636,P13484744
Cc1c(ccc2c1n(/c(=N/C(=O)/C=C/c3ccc(s3)[N+](=O)[O-])/s2)CC#C)Cl,C08958172,P13754197
C=CCn\1c2ccc(cc2s/c1=N\C(=O)c3ccc(s3)[N+](=O)[O-])Br,C08999696,P13814703
C=CCn\1c2ccc(cc2s/c1=N\C(=O)c3ccc(s3)Br)[N+](=O)[O-],C08999851,P13814855
Cc1c(nc2ccccc2n1)CSc3nnc(n3[C@H]4CCCC[C@H]4C)c5cccnc5,C03477761,P14542558
C#CCn\1c2cc(ccc2s/c1=N\C(=O)c3ccc(cc3Cl)Cl)[N+](=O)[O-],C12288980,P18053377
c1cc(cc(c1)[N+](=O)[O-])[C@H]2N3[C@H](CC(=N3)c4cccs4)c5cc(ccc5O2)Cl,C13616649,P20968081
COC(=O)c1ccc2c(c1)s/c(=N\C(=O)c3ccc4c(c3)scn4)/n2CC=C,C13626434,P20981897
Cc1ccc(cc1)c2nc(on2)c3cc4nc(cc(n4n3)C(F)(F)F)c5cccs5,C13644803,P21005190
CC(=O)N1c2ccccc2N=C(C[C@H]1c3ccc(cc3)[N+](=O)[O-])c4ccc(cc4)Cl,C01097900,P23098870
c1ccc(cc1)S(=O)(=O)c2c(onc2C(=O)c3ccco3)c4ccc5ccccc5c4,C16491582,P24910778
CCC(=O)n1c2c(nc1c3ccccc3)N(N=C(S2)c4cccs4)C(=O)CC,C16777620,P25304334
Cc1ccc(cc1)c2nc(cs2)CSc3nnc(n3C)c4ccc5c(c4)OCO5,C17093191,P25704707
c1ccc(c(c1)/C=C/C=N/N2CCN(CC2)C3c4ccccc4-c5c3cccc5)[N+](=O)[O-],C19682506,P29166648
c1ccc(c(c1)COc2ccc(cc2)c3nn4c(nnc4s3)c5cccnc5)Cl,C19897301,P29586774
Cc1ccc(c(c1)C)n2c(c(c3c2ncn4c3nc(n4)c5ccc(cc5)N(C)C)C)C,C21801752,P32448608
Cc1ccc(cc1C)n2c(nnn2)SCc3ncc(o3)c4cccc(c4)Cl,C24515485,P36314449
Cc1ccc(cc1)C2=NN3[C@H](C2)c4ccccc4O[C@@H]3c5ccc(c(c5)[N+](=O)[O-])Cl,C25782534,P38086082
c1ccc(cc1)c2nc3ccccc3c4n2c(nn4)SCc5cn6ccccc6n5,C33328735,P49295728
c1ccc(c(c1)c2nc(on2)c3ccc(c(c3)[N+](=O)[O-])Cl)I,C34797720,P51637413
