C[C@H](Cc1ccc(c(c1)O)O)[C@@H](C)Cc2ccc(c(c2)O)O,8,P10000014
C[C@H](c1ccc(s1)Cl)Nc2ccc(cc2)NC(=O)N,C37136489,P55216222
Cc1c(n[nH+]c(c1C(=S)N)NC(C)(C)CC(C)(C)C)C,C43437226,P65696356
c1cc(c(cc1N)C(F)(F)F)N[C@H]2CCCC[C@H]2O,C52000001,P77863661
CCC[C@H]1CC[C@@H]([C@@H](C1)C[NH+](Cc2ccco2)C3CC3)[NH3+],C53879627,P81015686
CCC[NH2+][C@@H]1CC[C@@H](C[C@@H]1C[NH+](C)c2ccc(cc2)O)C,C53862736,P81051188
CC(C)[NH+]1C[C@H]2CCC[C@@H](C1)C2[NH2+]CC[NH+](C)C(C)C,C54112911,P81391929
c1cc(c(cc1NC(=O)N[C@H]2CCC[C@H]2C(=S)N)Cl)Cl,C61886135,P94831714
CC[NH+](CC)c1ccc2c(c1)c(c(c([nH+]2)C)C(C)C)N,C62997354,P96737329
CC[C@H]1CCC[C@H](C1)Nc2cc3c(cc2N)CC(=O)N3,C68600843,P105271651
CC[C@@H]1CCC[C@@H](C1)[NH+](C)c2cccc(c2)/C(=N/O)/N,C71149652,P109851222
C[NH+](Cc1ccc(cc1C[NH3+])F)c2ccc(cc2)OC,C71263577,P110174462
CC[C@@H](/C(=N/O)/N)Nc1cc(ccc1Cl)C(F)(F)F,C78949938,P123229048
Cc1ccccc1N[C@@H](C/C(=N/O)/N)c2ccccc2,C78983609,P123287668
CC[C@H](C/C(=N/O)/N)N[C@@H](C)c1ccc(s1)Cl,C79007300,P123340425
CC[C@@H]([C@H](c1cccc[nH+]1)N2CCC[C@@H](CC2)C(C)C)[NH3+],C79302265,P123890031
Cc1ccc(s1)C[C@H](C)NC(=O)Nc2ccc(cc2)N,C80248017,P125336747
c1cc(c(cc1Cl)SCCS/C(=N\N)/N)Cl,C83589731,P130757955
c1c(c(cc(c1F)OC(F)F)NC[C@@H]2CCCC[C@H]2O)N,C85966703,P134600978
CCC[C@H]1CCC[C@@](CC1)(C[NH3+])[NH+]2CCOC[C@@H]2CC,C86948348,P136119725
CC(C)[C@@H]1CCC[C@@](CC1)(C[NH3+])[NH+]2CCOCC2(C)C,C86948475,P136126990
CC[C@](C)(CNc1c2cc(ccc2ncc1N)Br)O,C87011032,P136201943
Cc1c2ccccc2nc(c1Cl)CS/C(=N/N)/N,C87464798,P136827655
c1cc(c(cc1Cl)CSc2nc(cc(n2)N)N)Cl,C87760692,P137267735
CCC[NH2+][C@](C[NH+]1CCC[C@@H]2[C@@H]1CCC2)(CO)C3CC3,C87786360,P137302611
C[C@@H](c1cccc(c1)Br)Nc2cccc(n2)NN,C87866025,P137446758
C[C@@H](C[C@@](C)(CO)[NH2+]C(C)C)[NH+]1CCC(CC1)C(F)(F)F,C88439738,P138339959
CCOc1cc(c(cc1F)N)NC[C@H]2CCC[C@@H]2CO,C89493609,P139892038
c1cc(c(c(c1N)NC[C@@H]2CCCC[C@H]2CO)F)F,C89523474,P139941476
c1cc(c(cc1N)C(F)(F)F)NC[C@@H]2CCCC[C@@H]2CO,C89523690,P139941692
CC(C)[NH2+]CC1(CCCCCC1)C[NH+]2CCCC[C@@H]2CO,C89564719,P139998020
c1ccc2c(c1)[C@@H](CS2)CSc3nc(cc(n3)N)N,C92288358,P144477171
CC(C)[C@@H](CO)[NH2+]C1[C@@H]2CCC[C@H]1C[NH+](C2)C(C)C,C92392485,P144626142
CC(C)[NH2+][C@]1(CCC[C@H]1CC[NH+](C)c2ccccc2)CO,C93616313,P146651640
CC[NH+](c1cccc(c1)C)[C@H]2CC[C@@](C2)(CO)[NH2+]C3CC3,C93856352,P147096614
CC[C@](C)([C@@H]([C@@H]1CCc2c1[nH+]ccc2)[NH2+]CC)[NH+](C)C,C94137962,P147543124
c1cc(c(c(c1C(=O)[O-])F)F)N[C@@H]2CCCCC[C@H]2[NH3+],C94272067,P147747985
CCC[NH2+][C@H]1[C@@H](CCC1(C)C)C[NH+](C)c2ccc(cc2)O,C94315954,P147840819
CC[C@@H]1CCC[C@](C1)(C[NH3+])[C@@]2(CC(OC2(C)C)(C)C)O,C94426884,P147981657
C[C@@H]1CCC[C@@H](C1)[NH+](C)[C@@]2(CC(OC2(C)C)(C)C)C[NH3+],C94424952,P147982955
Cc1cc(c(nc1)N)[C@H](c2cc(ccc2F)C(F)(F)F)N,C94594583,P148279364
CC(C)[C@@H](c1cccs1)Nc2[nH]c3cc(ccc3n2)N,C94770610,P148544310
CC1CCC(CC1)(CNc2cc(c(cc2N)Cl)Cl)O,C95023596,P148959366
CC1(CCC(CC1)(CNc2cc(c(cc2N)Cl)Cl)O)C,C95023597,P148959367
c1ccc(cc1)C2(CCCCC2)[C@@H](C3=COCCC3)N[NH3+],C97525739,P154521268
CC[C@@](C)([C@H](Cc1c(cccc1C)C)NN)[NH+]2CCCC2,C97584735,P154652960
COC1(CCCCCC1)[C@H](c2ccc(cc2F)Cl)N[NH3+],C97667838,P154872591
CCOc1cc(c(cc1F)N)NC2CCC(CC2)O,C97678036,P154897843
CCCC[C@H](CC)[C@H](c1cc2ccccc2nc1)[NH2+]N,C97691457,P154940173
CCn1c(c(c(n1)C)Cl)C[C@@H](C2[C@H]3[C@@H]2CCCC3)[NH2+]N,C97751116,P155095972
C[C@H](CCOC)[C@H]([C@@H]1CCCC[C@@H]1C(F)(F)F)[NH2+]N,C97788169,P155200029
