CC1(CCc2c(cc3c(c2O1)cccc3OCc4cccc(c4)OC)C(=O)[O-])C,7,P10000006
c1ccc2c(c1)nc(s2)c3cccc(c3)[N-]S(=O)(=O)c4ccccc4F,C00630182,P09145255
Cc1ccc(cc1)S(=O)(=O)[N-]c2ccc3c(c2)oc(n3)c4cccc(c4)F,C00722847,P09155258
Cc1cc2c(c(c1C)[N-]S(=O)(=O)c3cc(c(cc3Cl)Cl)Cl)ncn2C,C01385934,P09622429
Cc1cc(c(c(c1)C)[N-]S(=O)(=O)c2ccc(cc2)/N=C/c3ccc(cc3)F)C,C05557658,P09784038
Cc1cc(c(c(c1C)S(=O)(=O)[N-]c2c(nc3ccccc3n2)Cl)C)C,C16756998,P25279459
CCc1ccc(cc1)c2cc(c3c(n2)n(c(=S)nc3[O-])[C@@H](C)CC)C(F)F,C20603613,P30744696
CC(C)c1ccc(cc1)c2nnc(s2)/N=C(/c3cc(ccn3)Cl)\[O-],C22587397,P33564755
Cc1cc(c(c(c1)C)c2csc(n2)/N=C(/c3cccnc3SC(F)F)\[O-])C,C24783536,P36696737
Cc1c(c(nn1C(=S)[S-])c2ccccc2)/N=N/c3ccc(cc3)Br,C17129918,P46803619
c1ccc2c(c1)nc(s2)c3ccc(cc3)[N-]S(=O)(=O)c4ccccc4Cl,C33124017,P49008736
Cc1cccc(c1)S(=O)(=O)[N-]c2ccc(cc2)c3nc4ccccc4s3,C33124022,P49014747
Cc1ccc(c(c1)C)S(=O)(=O)[N-]c2ccc(cc2)c3nc4ccccc4s3,C33124008,P49015443
Cc1cc(c(cc1C)S(=O)(=O)[N-]c2ccc3c(c2)sc(n3)SC)C,C33298815,P49252942
C[C@H]1CCc2c(sc3c2c(ncn3)Sc4[n-]nc(n4)c5ccccc5)C1,C14252941,P54110069
Cc1ccc2c(c1)sc(n2)/N=C(/c3ccc(s3)c4nc5ccccc5s4)\[O-],C04275468,P56847733
C[C@@H](/C(=N/c1nc2c(s1)ccc(c2Cl)Cl)/[O-])Oc3ccccc3,C36695074,P58723882
Cc1cc(cc2c1nc(s2)/N=C(/c3cc(on3)c4ccccc4)\[O-])Cl,C36695530,P58724615
c1cc(ccc1/C(=N/c2nnc(s2)SCc3ccc(c(c3)Cl)Cl)/[O-])F,C39723928,P60232472
CC[C@@H](/C(=N/c1nnc(s1)c2ccc(cc2)F)/[O-])Sc3ccc(cc3)C,C39724111,P60232628
c1ccc(c(c1)/C=C\2/C(=O)N(/C(=N\c3cccnc3Cl)/S2)C4CCCCC4)[O-],C39864094,P60488669
c1ccc(c(c1)/C=C\2/C(=O)N(/C(=N\c3ccncc3Cl)/S2)C4CCCCC4)[O-],C39864572,P60488674
Cc1cc(cc(c1)O[C@@H](C)/C(=N/c2nc3ccc(cc3s2)Cl)/[O-])C,C39874796,P60504485
Cc1ccc(cc1)c2ccc(cc2)OC/C(=N/c3nc(cs3)c4ccc(cc4)F)/[O-],C40881486,P62068309
Cc1ccc(cc1C)c2csc(n2)/N=C(/[C@H](C)Oc3cc(c(c(c3)C)Cl)C)\[O-],C40913323,P62109514
Cc1ccsc1/C=N/N=C(/[C@@H](C)Oc2ccc(cc2)c3ccccc3)\[O-],C40959724,P62183629
c1ccc(cc1)N\2C(=CS/C2=C(/C#N)\c3[n-]c4ccccc4n3)c5ccc(cc5)Cl,C08636635,P78543953
Cc1cccc(c1/N=C/2\C3(CCCC3)N(C(=N2)[S-])c4ccc(cc4)N(C)C)C,C15636735,P83513949
c1cc2c(cc1[N-]S(=O)(=O)c3ccc(c(c3)Cl)F)OC4(O2)CCCC4,C07055672,P86248081
CCOc1ccc(cc1)/C=C(/c2nc(c3c(csc3n2)c4cccs4)[O-])\Cl,C07489005,P86298151
c1ccc(cc1)/C(=N/S(=O)(=O)c2ccccc2)/[N-]c3cc(ccc3Cl)Cl,C05186057,P87295448
Cc1ccc(cc1)n2c(cc(c2C)/C=N/N=C(/[C@H](C)Sc3ccc(cc3)Cl)\[O-])C,C28216466,P89213922
c1ccc(c(c1)Cn2cc(c3c2cccc3)/C=C(\C#N)/C(=N/c4ccccc4F)/[O-])F,C59117203,P89671330
Cc1cc(cc(c1)/N=C(/C(=C\c2cccn2c3ccc(cc3)Br)/C#N)\[O-])C,C59248800,P89983213
Cc1cc(c(n1c2ccccc2)C)/C=C(\C#N)/C(=N/c3cccc(c3Cl)Cl)/[O-],C59335910,P90201263
c1ccc(cc1)c2c(cn(n2)c3ccccc3)/N=C/c4cc(cc(c4[O-])Cl)Cl,C59483152,P90530150
c1ccc(c(c1)/C=N/c2ccc3c(c2)sc(n3)SCC(=O)c4ccc(cc4)F)[O-],C59488387,P90540979
Cc1ccc(cc1)C/N=C(/C)\Cc2nc(n(n2)c3ccc(c(c3)Cl)F)[S-],C59957179,P91460896
CCN(CC)c1ccc(cc1)/C=C(/c2nc3c(cccc3c(n2)[O-])C)\Cl,C07136524,P93674532
