CC1(CCc2c(cc3c(c2O1)cccc3OCc4ccc(cc4)[N+](=O)[O-])Cn5cnnn5)C,4,P10000006
CCOc1ccc(cc1)N2CCCCn3c2nc4c3c(=O)n(c(=O)n4C)CC(C)C,C04370617,P05821347
CC(C)c1ccc(cc1)c2nc(on2)[C@H]3CCCN(C3)S(=O)(=O)c4ccc5c(c4)OCCO5,C01359953,P09551394
c1cc(cc(c1)F)c2c(cnc(n2)N3CCOCC3)c4nnnn4c5ccc(cc5)Cl,C08702074,P13352136
Cc1c(c(=O)n(n1C)c2ccccc2)/N=c\3/n(c(cs3)c4cccc(c4)[N+](=O)[O-])C(C)(C)C,C01776550,P13458692
CCCCn\1c2c(cc(/c1=N\C(=O)c3ccc(cc3)OC)C#N)c(=O)n4cccc(c4n2)C,C08771900,P13468907
Cc1ccc(cc1)Cn2cnc3c(c2=O)c4c(n3Cc5ccc6c(c5)OCO6)nc7ccccc7n4,C02256046,P13569519
Cc1ccc(cc1)S(=O)(=O)/N=c\2/n(c3cc4c(cc3s2)OCO4)CC(=O)OC,C08867170,P13769063
CCOc1ccc(cc1)N2CCCn3c2nc4c3c(=O)n(c(=O)n4C)Cc5ccc(cc5)F,C08969056,P13771660
CCOC(=O)C1=C(N=c2n(c(=O)/c(=C/c3cccnc3)/s2)[C@H]1c4ccc5c(c4)OCO5)C,C08989841,P13801358
CCOCCCn\1c2c(cc(/c1=N\C(=O)c3ccc(cc3)Cl)C#N)c(=O)n4cccc(c4n2)C,C09209520,P14116923
CCOc1ccc(cc1)N2CCn3c2nc4c3c(=O)n(c(=O)n4C)Cc5ccc(cc5)C,C09243446,P14198339
CC(C)c1ccc2c(c1)s/c(=N\C(=O)c3ccc(s3)[N+](=O)[O-])/n2CC(=O)OC,C09276023,P14213331
CC1=NN([C@@]2(c3c1cccc3)N(N=C(S2)C(=O)C)c4ccccc4[N+](=O)[O-])c5ccccc5,C09302099,P14256364
