CC(C)(C)N1C(=O)c2cc3cccc(c3cc2C1=O)OC,8,P10000009
Cc1ccc(cc1)N2Cc3cc4c(cc3OC2)OCO4,C00427606,P05300945
c1ccc(cc1)c2cc(n3c(n2)ncn3)c4ccc(cc4)F,C02485339,P05494795
c1cc(ccc1c2cnc(nc2)Oc3cc(cnc3)Cl)F,C01497463,P05503514
Cc1ccc(cc1)c2nc(on2)c3ccnc(c3)Cl,C00166693,P05611287
CC(C)(C)c1nc(no1)c2ccc(cn2)C(F)(F)F,C00124332,P05882535
c1ccc(cc1)c2cn3c(n2)sc(n3)N4CCCCC4,C01414372,P06058125
c1cc(ccc1c2ccc(o2)Br)[N+](=O)[O-],C00502361,P06951259
Cc1nc2n(c3ccccc3n2n1)Cc4ccc(cc4)Cl,C05274674,P07799987
c1cc(ccc1C(=O)O/N=C\2/CCCc3c2cco3)F,C06221391,P09680203
Cc1cc(n2c(n1)c(c(n2)C)c3ccccc3Cl)N(C)C,C06760259,P10673579
c1nc2c(c3c(s2)CCCC3)c(=O)n1N=C4CCCCC4,C06865171,P10822043
c1cc(c(cc1[N+](=O)[O-])C#N)Sc2ccc(cc2F)F,C07469017,P11557730
Cc1ccc(cc1)/C=N/N(C)c2cc(c(c(n2)Cl)C#N)C,C12447483,P18291020
C[C@H]1CCc2c(sc3c2c(ncn3)Oc4cccnc4)C1,C06911959,P19449357
C[C@@H]1CCCN(C1)S(=O)(=O)c2ccc(cc2)N=C=S,C17024092,P25618834
c1cc(ccc1/C=C/c2nc(c(o2)N3CCCC3)C#N)F,C20446568,P30467099
c1c(c(cc(c1Cl)Cl)Cl)n2c(nnn2)CCl,C34959390,P51893126
c1cc(c(cc1Cl)[N+](=O)[O-])c2ccc(s2)C=O,C35408404,P52535732
c1cc(c(c(c1)Cl)c2nnc3n2cnc(c3)Cl)F,C37325241,P55497617
c1ccc(cc1)c2nnn(n2)Cc3ccc(s3)Cl,C39561285,P59976710
c1cc(c(cc1F)[C@@H](c2ccc(o2)[N+](=O)[O-])Cl)F,C40269505,P61132930
c1ccc2c(c1)nc(o2)N3CCO[C@H](C3)c4ccc(cc4)F,C42097965,P63705927
c1cc(c(cc1Br)[N+](=O)[O-])N2C[C@H]3CC[C@@H]2C3,C42371468,P64089808
Cn1cc(cn1)C(=O)c2cc3cc(cc(c3o2)Cl)Cl,C44496504,P67150943
Cc1ccc2c(c1)nc(n2C)c3cnn(c3)C(C)(C)C,C48879959,P73028510
Cc1ccc2nc(cn2c1)CSc3ccc(nn3)Cl,C49493311,P73892383
Cc1cc(cc(c1)N(C)c2c(n3ccsc3n2)C=O)C,C49987315,P74758490
Cc1cc(ccc1Br)n2c(nnn2)C(C)(C)C,C50309226,P75246655
c1c(cc2c3c1[C@H]4C=CC[C@@H]4CN3C[C@H]5[C@@H]2C=CC5)[N+](=O)[O-],C15930124,P82834525
c1ccc(cc1)n2cccc2/C=N/c3ccc4c(c3)OCO4,C59250319,P89981766
CN(C)c1nc(nc(n1)Cl)Sc2cccs2,C61543310,P94224180
CN(C)c1nc(nc(n1)Cl)Sc2cc(ccc2F)F,C61543950,P94224976
CCC1(CCN(CC1)c2nc(nc(n2)Cl)Cl)C,C62960489,P96626672
c1c2cc(c(nc2c(cc1[N+](=O)[O-])Cl)Cl)CCl,C63116553,P96910658
c1c2c(nc(nc2Cl)Cl)n(n1)C3CCCCC3,C66354287,P102042488
CC[C@H]1CCC[C@H](C1)Oc2nc(nc(n2)Cl)Cl,C71132101,P109782549
c1cc(sc1)c2nc3ncc4c(n3n2)CCCCC4,C72451459,P112718091
Cc1c(nc2n1ccc(c2)Cl)C(=O)N(C)c3ccccc3,C77892376,P121543149
Cc1c(nc2n1c(ccc2)Cl)C(=O)N(C)c3ccccc3,C77893569,P121544585
COC(=O)c1c(nc(s1)N2CCC[C@H]3[C@@H]2CCC3)Cl,C87780917,P137297156
c1cc(n(c1)c2c(cc(c3c2nsn3)Cl)Cl)C=O,C88127113,P137825095
Cc1ccc(cc1F)c2nnc3n2c(c(nc3Cl)C)C,C88498649,P138419838
c1ccc2c(c1)nc(o2)C[C@H](c3ccc4c(c3)OCO4)Cl,C91389159,P142981343
Cc1c2c(n(n1)C)n(c(n2)[C@@H](C)Cl)C3CCCCCC3,C92541796,P144848143
CC[C@@H]1CCCC[C@H]1n2c(nc3c2n(nc3C)C)CCl,C92542174,P144848767
CCc1c2c(n(n1)C)n(c(n2)[C@H](C)Cl)C3CCCCC3,C92578733,P144906378
c1cc(cc(c1)F)/C(=C/c2ccc(cc2)[N+](=O)[O-])/C#N,C02874683,P152742542
Cc1c(c(n(n1)c2ccc(nn2)Cl)Cl)C(C)C,C97099718,P153718266
Cn\1ccs/c1=N/C(=O)c2cc(nc(c2)Cl)Cl,C30799815,P154779315
c1cc2c(cc1[N+](=O)[O-])sc(n2)/C=C\c3ccsc3,C33466800,P155798306
