CN1C(=O)c2cc3cccc(c3cc2C1=O)OC,1,P10000002
CC(C)(C)[C@@H]1CN([C@@H](CN1C=O)C(C)(C)C)C=O,C00332336,P05138022
CC(C)C(=O)N1CCCCCCN1C(=O)C(C)C,C01564064,P06450497
CC(C)(C)[C@@H]1C[C@H](C(=O)C(=[N+]=[N-])C1=O)C(C)(C)C,C05379744,P07957159
c1ccc2c(c1)nn(n2)[C@@H]3[C@@H](CCO3)Cl,C05949233,P08912931
Cc1cc(n(c(=O)c1C#N)/N=C/2\CCC[C@@H](C2)C)C,C00584553,P08926536
c1cc(ccc1C#N)Oc2c3ccsc3ncn2,C03341661,P09175389
c1cc(ccc1S(=O)(=O)c2cnns2)Cl,C03125330,P09666173
Cc1c(c(n(n1)c2ccc(cc2)Cl)C)N=O,C04404332,P17160440
CC1=NC(=C)C([C@H](C1C#N)c2ccco2)C#N,C00163869,P18209052
c1cc(nnc1n2cc(cn2)Br)Cl,C15021122,P22835244
C[C@@H]1CCCN(C1)c2c(n3ccsc3n2)C=O,C22157376,P32962782
Cc1c(nnc(c1C#N)N2CCCCCC2)C,C24052490,P35674531
c1cc2c(cc1Br)sc3n2nnn3,C27586883,P40662177
C1C[C@@H]2[C@H](CCCC23OCCO3)C4(C1)OCCO4,C16956432,P46727126
CC(C)N1C(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C1=O,C36756044,P54618678
c1cc(nn2c1nnc2Cc3ccsc3)Cl,C36903729,P54855190
c1ccc(cc1)c2c3c(c(c4n3CCC4)C#N)ncn2,C00197460,P56323899
c1ccc(cc1)c2nc(no2)c3ccncc3,C00238181,P56329084
C[C@H](C12CC3CC(C1)CC(C3)C2)n4cnnn4,C04327367,P56502994
c1ccc2c(c1)c-3nnc4n(c3n2)CCCS4,C01062097,P57405018
CC[C@@H]1CCCCN1c2c(c(c(nn2)C)C)C#N,C40217622,P61054790
Cc1c(nnc(c1C#N)O[C@@H]2CCC[C@@H](C2)C)C,C40291200,P61164498
C1CCO[C@@H](C1)n2c(nc(n2)Cl)Cl,C44902861,P67691947
C1CCO[C@H](C1)n2c(nc(n2)Cl)Cl,C44902864,P67691952
CC(C)(C)c1cc(n(n1)c2ncccn2)S,C52305340,P78280800
Cc1cc(nc(n1)Cl)n2c(c(c(n2)C)C)C,C52815130,P79140772
C[C@H]1CCC[C@@H](C1)N(C)c2c(nccn2)C#N,C54379316,P81820192
C[C@H]1CCC[C@H](C1)N(C)c2c(nccn2)C#N,C54379318,P81820195
c1c(sc(n1)N2CCO[C@H]3[C@@H]2CCCC3)C=O,C54863609,P82581146
Cc1c(cnc(n1)N2CCCCCC2)C(=O)C,C54962489,P82750626
CC(C)(C)Oc1nc(nc(n1)Cl)Cl,C59189672,P89836972
C[C@@H]1CCC[C@@H](N1c2c(nsn2)OC)C,C36650642,P91834755
Cc1c(nnc(c1C#N)N2CCC(CC2)(C)C)C,C61803541,P94673166
CC1(CCCN1c2c(n3ccsc3n2)C=O)C,C63067518,P96831002
Cc1c(nnc(c1C#N)N2CCCCC[C@H]2C)C,C70410111,P108545814
Cc1ccc(s1)c2nnc3n2ccnc3Cl,C70616317,P108927468
c1c(cncc1Cl)Oc2cncc(n2)Cl,C81698679,P127449940
Cc1c(nc(nc1Cl)c2cnccn2)Cl,C82473917,P128886102
Cc1c(nc(nc1Cl)C)Sc2nncs2,C82573151,P129043428
Cc1nc(cc2n1c(nn2)c3cccs3)Cl,C83815119,P131107220
CCn1ccnc1c2c(c(c(nn2)Cl)C)C,C84026071,P131467667
Cc1c(c(n(n1)C)O[C@H]2CC[C@@H]([C@@H](C2)C)C)C#N,C85017909,P133044844
Cc1cnc(nc1n2cc(cn2)Cl)Cl,C85788510,P134300341
Cc1ccn(n1)c2c(cnc(n2)Cl)Cl,C86622304,P135595059
Cn1ccnc1Sc2c(cnc(n2)Cl)Cl,C86622326,P135595081
c1ccc2c(c1)cnn2c3nnc(s3)CCl,C87696344,P137173538
C[C@H]1[C@@H](C(=NO1)c2ccccc2)C3=NN=CC3,C95884401,P150931033
c1ccc(cc1)c2c(c3c(nccn3n2)Cl)C=O,C96530788,P152527837
CN(c1ccccc1C#N)c2c(cncn2)Cl,C97847493,P155291774
c1cc2nnc(n2cc1C#N)C3CCCCC3,C97883096,P155357308
