CC1(CCc2c(cc3c(c2O1)cccc3OCc4ccccc4)c5nnco5)C,6,P10000007
Cc1ccc(c2c1cc(c3n2c(nn3)SCC(=O)OC4CCCCC4)C)C,C00929676,P05413617
Cc1ccc(cc1)c2csc3c2c(ncn3)Oc4ccc(cc4)C(=O)OC,C00628274,P05620673
c1cc(ccc1C(=O)/C=C/c2ccc(o2)c3ccc(cc3Cl)[N+](=O)[O-])F,C04724895,P06762121
c1ccc2c(c1)c(cn2Cc3ccc(cc3)F)/C=C(\C#N)/c4ccc(cc4)[N+](=O)[O-],C01823007,P07014504
c1ccc(cc1)N2[C@@H](CC(=N2)c3ccc(cc3)Cl)c4ccc(cc4)[N+](=O)[O-],C04844105,P07033048
CCC1C/C(=C\c2ccc3c(c2)OCO3)/C(=O)/C(=C/c4ccc5c(c4)OCO5)/C1,C04916117,P07173299
CCc1c(nc(s1)/C(=C/c2ccc(cc2)[N+](=O)[O-])/C#N)c3cc(ccc3C)C,C04957125,P07241391
CCN(CC)c1ccc(cc1)n2c3c(nc4ccccc4n3)nc2c5ccccc5,C05021709,P07400121
c1ccc(cc1)n2cc(c(n2)c3ccc(cc3)F)/C=C/c4ccc(cc4)[N+](=O)[O-],C05059721,P07459342
c1ccc(cc1)C(=O)Oc2ccc3c(c2)occ(c3=O)c4nc5ccccc5s4,C02264971,P07532318
Cc1cc2c(cc1C)oc(c(c2=O)OC(=O)c3ccncc3)c4ccc(cc4)Cl,C05580163,P08307955
Cc1ccc(cc1)S(=O)(=O)Oc2ccc(cc2c3nc4cc(ccc4o3)C)C,C06775527,P10694367
Cc1c(ccc2c1n(/c(=N/C(=O)c3ccc(cc3)N(C)C)/s2)CCOC)Cl,C07377555,P11446454
Cc1ccc(c(c1)C)n2c3c(cn2)c(ncn3)Oc4ccc(c(c4)C)C(C)C,C07444404,P11527679
Cc1ccc(c(c1)Oc2c3cnn(c3ncn2)c4ccc(c(c4)Cl)Cl)C,C07444800,P11528097
c1ccc(cc1)[C@@H]2/C(=C\c3ccc(c(c3)[N+](=O)[O-])Cl)/C(=O)c4ccccc4O2,C08193051,P12423113
Cc1ccc(cc1)c2nnc(o2)Sc3c4c5c(sc4ncn3)C[C@H](CC5)C,C08199892,P12430878
COC(=O)c1ccc2c(c1)s/c(=N/C(=O)Cc3ccc(s3)Cl)/n2CC#C,C10061230,P15356635
CCn\1c2cc3c(cc2s/c1=N\C(=O)Cc4c(cc(cc4C)C)C)OCO3,C10064505,P16198948
Cc1cc(c(c(c1)C)CC(=O)/N=c\2/n(c3cc4c(cc3s2)OCO4)CC=C)C,C10064521,P16199114
CCOC(=O)Cn\1c2ccc(cc2s/c1=N\C(=O)c3ccc(c(c3)C)C)C,C13099210,P19391829
CC(=O)c1ccc(cc1)n2c3c(nc4ccccc4n3)nc2c5ccc(cc5)Cl,C02238260,P19765631
COC(=O)c1ccc2c(c1)s/c(=N\C(=O)c3ccc(cc3)Cl)/n2CC=C,C13626373,P20981825
c1ccc(c(c1)Cn2cc(c3c2cccc3)/C=C(/C#N)\c4ccc(cc4)[N+](=O)[O-])F,C15799429,P23813945
CCOC(=O)c1cc(nc2c1c(nn2c3ccc(cc3C)C)C)c4ccc(cc4)C,C03345129,P24141494
c1cc(ccc1c2csc(n2)c3nc(cs3)c4ccc(cc4)Cl)[N+](=O)[O-],C20135399,P29961445
COC(=O)c1cc(nc2n1nc(c2)c3ccccc3)c4ccc(c(c4)Cl)Cl,C20605844,P30740755
Cc1cc(n(n1)c2cc(nc3n2nc(c3c4ccc(cc4)F)C)C(C)(C)C)C,C21799252,P32445334
Cc1cc(n(n1)c2cc(nc3n2ncc3c4ccc(cc4)Cl)C(C)(C)C)C,C02441013,P56802992
CC(C)CCSc1nnc2n1C(=O)[C@H]3C(=N2)c4ccccc4CC35CCCC5,C38676518,P58548995
C=CCn\1c2ccc(cc2s/c1=N\C(=O)/C=C\c3ccc4c(c3)OCO4)F,C38873182,P58891328
Cc1c\2c(n(n1)c3ccccc3)CC(C/C2=N\OC(=O)/C=C/c4ccccc4)(C)C,C39853052,P60472777
C#CCn\1c2ccc(cc2s/c1=N\C(=O)c3cc(on3)c4ccccc4)Cl,C44224030,P66790956
Cc1cc(cc(c1)n2c3c(c(=S)nc2c4cccc(c4)[N+](=O)[O-])CCCC3)C,C47156033,P70725288
c1ccc(cc1)C2=N/C(=C\c3ccc(cc3)OC(=O)c4ccc(cc4)Cl)/C(=O)O2,C13925037,P89931658
c1ccc(cc1)N2[C@@]3(c4ccccc4CS3)SC(=N2)c5ccc(cc5)[N+](=O)[O-],C59449274,P90462578
Cc1ccc(cc1)c2nc(nc(n2)N3CC[C@H]4CCCN4C3)c5ccc(cc5)C,C59520096,P90611598
c1cc(c(cc1Br)Cl)Oc2nc(nc(n2)Cl)N3CCCC3,C61521532,P94192872
CCCCC1CCC(CC1)C(=O)/N=c/2\n(c3cc4c(cc3s2)OCCO4)C,C36633851,P95370175
Cc1cc(c(c(c1)C)c2nnc(o2)SCc3ncc(o3)c4cccs4)C,C67430034,P103559363
CC(C)(C)c1ccc(cc1)c2nc(on2)CSC3=Nc4ccccc4OC3,C73682073,P114749700
Cc1ccc(cc1)c2nc(cc(n2)SCc3nc(no3)c4cccc(c4)F)C,C73690219,P114773338
c1ccc2c(c1)C(=O)/C(=C\c3ccc(o3)c4ccc(cc4[N+](=O)[O-])Cl)/S2,C33342689,P130238971
c1cc(c(cc1N(CC2CC2)C(=O)c3cc(sc3Cl)Cl)[N+](=O)[O-])Cl,C63449531,P149830118
c1ccnc(c1)Sc2ccc(cc2[N+](=O)[O-])/C=N\c3cc(cc(c3)Cl)Cl,C02570701,P155709725
Cc1cccc(c1n2c(nnn2)C3(CCCCC3)/N=C/c4ccc(cc4)Cl)C,C04414625,P156102465
c1cc(cc(c1)F)c2nc3cc(ccc3o2)/N=C/c4cc5c(cc4Cl)OCO5,C00865607,P156285850
c1ccc(cc1)C(=O)c2cc(ccc2/N=C/c3ccc(s3)[N+](=O)[O-])Cl,C13943050,P156338173
CCn1c2ccccc2c3c1ccc(c3)/C=N\c4ccc(c(c4)[N+](=O)[O-])Cl,C00727769,P156341258
