CC(C)N1C(=O)c2cc3cccc(c3cc2C1=O)OC,1,P10000001
CCc1nc2c(c3c(s2)CCCC3)c4n1c(nn4)CC,C00081229,P04634208
Cc1cc(cc(c1)c2nnc3n2nc(s3)C4CC4)C,C00385213,P06577084
c1cc(cnc1)c2nc3c(c4c(s3)CCCC4)c(=O)o2,C00994907,P08397339
Cc1c(sc2c1c3nnc(n3cn2)SCC=C)C,C05697381,P08501469
Cc1c(c2nnc(c(n2n1)C)Cl)c3ccccc3,C05724457,P08546395
CN(c1c2c3c(sc2ncn1)CCCCC3)OC,C06586382,P10378896
Cc1c2c(n(nc2c(nn1)C)c3cccc(c3)Cl)C,C12391017,P18207731
c1ccc(cc1)SC(=O)n2c3ccccc3nn2,C15781750,P23787107
Cc1ccc(cc1)N(C#N)S(=O)(=O)c2ccccc2,C00400577,P29397408
C[C@@H]1C[C@H](CN(C1)C(=O)c2ccn(n2)C3CCCC3)C,C28575800,P42033065
Cc1c(nnc(c1C#N)N(C)CC2CCCCC2)C,C30009184,P46635254
c1ccc2c(c1)nc(o2)N3CCN(CC3)C4CCCC4,C32779332,P48546616
c1ccc(cc1)[C@H](c2nc(no2)c3cccnc3)Cl,C36720234,P54568890
c1cc2c(cc1[C@H](C#N)C(=O)C3CCCCC3)OCCO2,C37348114,P55535787
c1cc(cnc1)c2nnc(o2)c3ccc(cc3)Cl,C00177538,P56323016
c1cc(ccc1Cc2nc(no2)c3ccncc3)Cl,C00441866,P56346588
C[C@@H]1C/C(=N\OC(=O)c2ccc(cc2)F)/[C@@H](CN1C)C,C05027503,P56602213
Cc1c(c(n(n1)C)C)C(=O)c2cc3cc(ccc3o2)Cl,C45168800,P68061213
CCc1c(c(nc(n1)n2c(cc(n2)C)C)Cl)C,C45956023,P69202266
c1ccc2c(c1)CCC[C@@H]2Sc3nc4ncccn4n3,C48290395,P72246395
Cc1cc(nc(n1)SCc2c(snn2)Cl)C,C48695724,P72772127
Cc1cc(ncn1)n2c(c(c(n2)C(C)C)CCl)Cl,C49960857,P74710654
c1ccnc(c1)Sc2cccc(c2[N+](=O)[O-])F,C54269836,P81654329
Cc1c(nnc(c1C#N)N(C)[C@H]2CCCC[C@@H]2C)C,C55387551,P83424434
CC(C)CSC1=NN2CCCC(=O)N=C2S1,C36649772,P91832721
C[C@@H]1CN(C[C@H](S1)C)c2nc(nc(n2)Cl)Cl,C69910242,P107727327
Cc1c(cnc(n1)c2ccc3c(c2)nccn3)[C@@H](C)Cl,C70433680,P108606667
CC(C)(C)c1ccccc1n2c(nnn2)CCl,C71174708,P109870734
CC(C)(C)[C@@H]1CCCN(CC1)c2c(nccn2)C#N,C71202942,P109929770
CCc1c(snn1)C(=O)N(C)[C@@H]2CCCC[C@H]2C,C71872373,P111499320
CCc1c(snn1)C(=O)N(C)[C@H]2CCCC[C@H]2C,C71872374,P111499321
CC(C)(C)c1nc(on1)[C@@H]2Cc3cc(ccc3O2)F,C77967882,P121651067
c1cc(c(cc1[N+](=O)[O-])Cl)N2CCC(CC2)F,C79032106,P123377724
c1cn2c(c(n1)Cl)nnc2c3cc(c(c(c3)F)F)F,C79453291,P124115139
c1cc2c(cc1c3nnc4n3ccnc4Cl)CCC2,C79453321,P124115206
c1cc(cc(c1)[N+](=O)[O-])c2ncc(s2)CCl,C83943633,P131320658
c1cc(c2c(c1)sc(n2)Br)[N+](=O)[O-],C85224604,P133336678
Cc1cc(sc1C)c2nnc3n2ccnc3Cl,C87568071,P136968927
C[C@H]1CCCN([C@@H]1C)c2c(nnc(n2)Cl)Cl,C87967805,P137585725
CC[C@@H]1CCC[C@@H](C1)c2nc(on2)[C@@H]3CCCCC3=O,C87994160,P137622932
Cc1ccc(s1)c2nnc3n2c(c(nc3Cl)C)C,C88498263,P138419452
C[C@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c3cnsn3,C89922502,P140553611
c1ccc(cc1)c2cnn(c2)c3cncc(n3)CCl,C91436286,P143082150
CC(C)[C@H]1CCCN(CC1)Cc2cnc3n2ccnc3,C93440640,P146325417
CC(C)[C@@H]1CN2CCC[C@@H]2CN1c3ccc4c(c3)OCO4,C94447994,P148040816
Cc1ccc(c(c1)F)c2nnc3n2nc(cc3)Cl,C94918175,P148779295
c1cc(c(cc1N2CCCC2)Br)[N+](=O)[O-],C95081085,P149077062
CN(C)/C=C\c1cc(c(cc1Cl)[N+](=O)[O-])Cl,C95093039,P149094488
CSc1nc2nccc(n2n1)/C=C/c3cccs3,C38194872,P155710728
c1ccc(c(c1)c2c(n3ccsc3n2)N=O)Cl,C05117315,P156241824
