Title,glide gscore,RMSD
decoy,-7.095,7.507
decoy,-7.13,9.478
decoy,-7.094,8.044
decoy,-7.102,7.534
decoy,-7.164,8.885
decoy,-7.088,10.367
decoy,-7.086,7.205
decoy,-8.384,8.371
decoy,-7.083,10.362
decoy,-7.082,8.045
decoy,-7.096,7.783
decoy,-7.08,9.362
decoy,-7.08,10.481
CHEMBL4464070,-7.078,8.561
CHEMBL4747765,-7.078,8.561
decoy,-7.078,8.292
decoy,-7.356,6.589
decoy,-7.103,6.604
decoy,-7.07,7.786
decoy,-7.076,8.175
decoy,-7.064,7.361
decoy,-7.064,10.31
decoy,-7.055,7.273
decoy,-7.053,8.948
decoy,-7.052,9.305
decoy,-7.052,7.397
decoy,-7.048,9.02
decoy,-7.046,5.501
decoy,-7.045,6.761
decoy,-7.042,8.415
decoy,-7.039,7.863
decoy,-7.04,7.428
decoy,-7.037,8.484
decoy,-7.034,8.9
decoy,-7.443,8.808
decoy,-7.031,10.309
decoy,-7.433,8.094
decoy,-7.431,9.017
decoy,-7.019,10.515
decoy,-7.018,6.814
decoy,-7.017,9.336
decoy,-7.015,7.214
decoy,-7.289,7.698
decoy,-7.013,10.245
decoy,-7.016,7.703
decoy,-7.062,7.852
decoy,-7.01,7.566
decoy,-7.005,8.68
decoy,-7.004,9.193
decoy,-7.004,9.61
decoy,-7.002,9.739
decoy,-7.001,8.279
decoy,-6.998,6.388
decoy,-6.998,8.468
decoy,-6.997,6.17
decoy,-8.037,7.23
decoy,-6.996,5.47
decoy,-6.994,10.038
decoy,-6.993,6.573
decoy,-7.095,7.557
decoy,-6.992,6.078
decoy,-6.99,9.693
decoy,-7.236,8.575
decoy,-6.99,6.852
decoy,-7.016,9.303
decoy,-6.987,10.162
decoy,-6.987,7.909
decoy,-6.983,11.09
decoy,-6.983,10.199
decoy,-6.981,6.295
decoy,-6.98,6.967
decoy,-6.979,10.839
decoy,-6.978,6.646
decoy,-7.306,7.356
decoy,-6.993,6.775
decoy,-6.969,7.825
CHEMBL4516452,-6.967,7.43
CHEMBL4516452,-6.967,7.43
decoy,-6.967,7.863
decoy,-6.967,7.863
decoy,-6.967,9.243
decoy,-6.965,9.213
decoy,-7.389,7.401
decoy,-7.038,7.368
decoy,-8.013,7.687
decoy,-6.959,7.087
decoy,-6.986,6.791
decoy,-6.957,7.351
decoy,-6.966,7.057
decoy,-6.956,7.64
decoy,-6.955,6.11
decoy,-7.114,7.651
decoy,-6.954,9.186
decoy,-6.953,9.28
decoy,-7.274,6.517
decoy,-6.952,8.452
decoy,-6.95,11.289
decoy,-6.946,7.956
decoy,-6.945,9.16
decoy,-6.942,7.469
decoy,-6.94,7.706
decoy,-6.961,9.91
decoy,-6.95,6.573
decoy,-6.933,9.614
decoy,-6.931,9.748
decoy,-6.931,9.912
decoy,-6.951,9.672
decoy,-6.927,10.292
decoy,-6.926,9.976
decoy,-6.925,6.179
decoy,-6.925,9.035
decoy,-6.923,9.339
decoy,-6.919,8.379
decoy,-6.919,6.825
decoy,-6.919,10.446
decoy,-6.916,6.751
decoy,-6.914,9.185
decoy,-6.913,10.076
decoy,-6.912,7.529
decoy,-6.982,8.666
decoy,-6.905,8.629
decoy,-6.905,5.927
decoy,-7.291,8.497
decoy,-6.901,7.662
decoy,-6.901,10.52
decoy,-6.9,11.036
decoy,-7.274,7.509
decoy,-6.898,7.404
decoy,-6.903,5.443
decoy,-6.895,10.634
decoy,-7.161,6.534
decoy,-7.194,7.242
decoy,-6.894,7.715
decoy,-6.895,7.377
decoy,-6.905,7.168
decoy,-6.892,10.161
decoy,-7.383,8.898
decoy,-6.904,7.859
decoy,-6.909,9.141
decoy,-7.257,8.691
