Title,glide gscore,RMSD
decoy,-9.041,8.291
decoy,-9.015,9.519
decoy,-8.876,10.069
decoy,-9.16,9.77
decoy,-8.882,10.118
decoy,-8.875,7.531
decoy,-8.873,8.758
decoy,-8.87,8.938
decoy,-8.869,10.447
decoy,-8.864,9.07
decoy,-8.99,9.547
decoy,-8.86,9.567
decoy,-8.856,9.727
decoy,-8.857,8.513
decoy,-9.264,10.127
decoy,-8.849,8.097
decoy,-8.846,7.243
decoy,-8.843,6.923
decoy,-8.84,9.051
decoy,-8.836,7.243
decoy,-8.852,8.462
decoy,-8.883,6.49
decoy,-8.826,8.852
decoy,-8.825,8.832
decoy,-8.825,9.478
decoy,-8.824,7.782
CHEMBL4528570,-8.824,8.799
decoy,-8.824,8.822
decoy,-8.875,7.795
CHEMBL4516452,-8.822,8.687
CHEMBL4516452,-8.822,8.687
decoy,-8.822,7.059
decoy,-8.822,7.059
decoy,-8.821,9.478
MBX3132,-8.821,10.121
decoy,-8.857,10.894
decoy,-8.818,10.178
decoy,-8.813,8.287
decoy,-8.908,7.16
decoy,-8.855,9.551
decoy,-8.811,10.036
decoy,-8.834,9.466
decoy,-8.805,8.929
decoy,-11.243,10.481
decoy,-8.802,10.052
decoy,-9.021,9.29
decoy,-8.799,10.913
decoy,-8.797,9.11
decoy,-8.796,9.114
decoy,-8.793,9.095
decoy,-8.791,8.147
decoy,-8.849,8.848
decoy,-8.784,9.711
decoy,-9.333,10.568
decoy,-9.192,8.428
decoy,-8.788,10.69
decoy,-8.778,7.941
decoy,-8.777,6.73
decoy,-8.777,6.164
decoy,-9.014,10.675
decoy,-8.776,9.154
decoy,-8.775,7.123
decoy,-8.779,10.043
decoy,-8.77,7.963
CHEMBL4752288,-8.77,9.078
decoy,-8.768,9.803
decoy,-9.312,9.324
decoy,-8.767,8.486
decoy,-8.767,10.813
decoy,-8.763,8.704
decoy,-8.77,8.857
decoy,-8.769,8.299
decoy,-8.757,9.133
decoy,-8.757,7.989
decoy,-8.751,10.257
decoy,-8.75,10.34
decoy,-8.747,9.563
decoy,-8.747,11.23
decoy,-8.746,8.445
CHEMBL4740685,-8.746,9.159
decoy,-8.746,9.309
decoy,-8.745,7.688
decoy,-8.744,11.026
decoy,-8.742,8.334
decoy,-8.743,8.534
decoy,-8.741,9.293
decoy,-8.932,8.247
decoy,-8.738,8.587
decoy,-8.738,11.749
decoy,-8.736,8.724
decoy,-8.748,11.481
decoy,-8.768,9.044
decoy,-8.735,10.484
decoy,-8.735,8.485
decoy,-8.724,9.227
CHEMBL4780061,-8.721,10.252
decoy,-8.721,8.77
decoy,-8.72,6.368
decoy,-8.786,9.531
decoy,-8.717,9.734
decoy,-8.715,10.447
decoy,-8.713,9.496
decoy,-8.83,11.242
decoy,-11.399,8.946
decoy,-8.715,6.513
decoy,-8.708,8.761
decoy,-8.706,8.467
decoy,-8.705,7.308
decoy,-8.705,8.734
decoy,-8.704,7.077
decoy,-8.703,10.327
decoy,-8.702,8.888
decoy,-8.7,8.18
decoy,-8.698,9.241
decoy,-8.698,10.023
decoy,-8.698,6.394
decoy,-8.698,8.741
decoy,-8.87,10.142
decoy,-8.979,11.269
decoy,-8.694,9.586
decoy,-8.693,6.323
decoy,-8.692,9.611
decoy,-8.692,8.02
CHEMBL4464070,-8.692,10.49
CHEMBL4747765,-8.692,10.49
decoy,-8.691,6.219
decoy,-9.613,9.573
decoy,-8.686,10.56
decoy,-8.687,10.45
decoy,-8.682,10.126
decoy,-8.7,8.715
decoy,-8.679,8.238
decoy,-8.678,7.854
decoy,-8.787,10.572
decoy,-8.678,7.596
decoy,-8.676,8.21
decoy,-8.675,9.715
decoy,-8.672,10.29
decoy,-8.664,5.809
decoy,-8.661,7.565
decoy,-8.661,7.565
decoy,-8.773,8.464
decoy,-8.655,9.752
decoy,-8.654,7.334
decoy,-8.651,8.376
decoy,-8.65,8.232
decoy,-8.649,10.139
decoy,-8.649,10.296
decoy,-8.648,9.21
decoy,-8.645,10.104
decoy,-8.644,8.17
decoy,-9.055,10.193
decoy,-8.643,7.673
decoy,-8.675,7.956
decoy,-8.652,10.37
CHEMBL4593858,-8.64,5.508
CHEMBL4593858,-8.64,5.508
decoy,-8.925,10.049
decoy,-8.635,8.904
decoy,-8.634,8.809
decoy,-8.634,8.835
decoy,-8.661,7.606
decoy,-8.629,9.991
decoy,-8.626,8.501
decoy,-8.65,7.155
decoy,-8.741,8.309
decoy,-8.624,6.202
decoy,-8.623,10.497
decoy,-8.62,10.267
decoy,-8.616,7.209
decoy,-8.647,7.682
decoy,-9.08,8.722
decoy,-8.613,10.113
decoy,-8.614,9.169
decoy,-9.862,9.933
decoy,-8.677,9.566
decoy,-8.607,7.747
decoy,-9.757,10.18
decoy,-8.687,7.779
decoy,-8.672,7.714
decoy,-8.601,6.163
decoy,-8.6,7.174
decoy,-8.598,10.515
decoy,-9.088,8.855
decoy,-10.362,9.979
decoy,-8.595,11.06
decoy,-8.636,9.82
decoy,-9.69,10.005
decoy,-8.592,6.934
decoy,-8.591,7.84
decoy,-8.589,9.581
decoy,-8.589,9.005
decoy,-8.587,8.273
decoy,-8.642,8.262
decoy,-8.582,7.863
decoy,-8.581,8.731
decoy,-8.686,8.847
decoy,-8.578,10.671
decoy,-8.576,7.244
decoy,-8.576,10.254
decoy,-8.576,9.235
decoy,-8.942,9.324
decoy,-8.573,8.085
decoy,-8.57,8.719
decoy,-8.57,7.632
decoy,-8.629,9.16
CHEMBL4582016,-8.569,8.603
CHEMBL4476569,-8.569,8.603
CHEMBL4476569,-8.569,8.603
decoy,-8.569,7.623
decoy,-8.569,7.623
decoy,-8.569,7.951
decoy,-8.569,8.106
decoy,-8.568,10.809
decoy,-8.568,8.432
decoy,-8.638,7.593
decoy,-8.567,9.032
decoy,-8.567,6.03
decoy,-8.561,7.818
decoy,-8.583,8.88
decoy,-8.59,8.64
decoy,-8.555,10.385
decoy,-8.555,9.141
CHEMBL4752573,-8.553,9.344
decoy,-8.557,11.119
decoy,-8.584,10.07
decoy,-8.547,9.346
decoy,-8.547,6.039
decoy,-8.547,7.143
decoy,-8.546,8.694
decoy,-8.546,9.82
decoy,-8.545,9.3
decoy,-9.111,8.139
CHEMBL4763478,-8.536,10.691
decoy,-8.536,10.645
decoy,-8.533,8.611
decoy,-8.941,11.663
decoy,-8.53,6.693
decoy,-8.529,7.287
decoy,-9.235,8.654
decoy,-8.532,9.464
decoy,-8.526,9.455
decoy,-8.664,7.915
decoy,-8.979,10.153
decoy,-8.524,8.389
decoy,-8.524,6.6
decoy,-8.524,7.41
decoy,-8.524,8.16
decoy,-8.521,8.435
decoy,-9.559,10.887
decoy,-8.517,9.175
decoy,-8.517,9.469
decoy,-8.512,8.887
decoy,-8.531,8.465
decoy,-8.786,9.258
decoy,-8.511,6.076
CHEMBL4743452,-8.51,9.016
rhodamin6G,-8.508,9.843
decoy,-8.506,9.121
decoy,-8.505,10.516
decoy,-8.504,6.901
decoy,-8.504,7.758
decoy,-8.502,6.673
decoy,-8.501,7.629
decoy,-8.501,7.232
decoy,-8.501,9.144
decoy,-8.508,8.444
decoy,-8.5,7.633
decoy,-8.499,9.159
decoy,-8.496,9.684
decoy,-8.494,6.498
decoy,-8.493,9.821
decoy,-8.492,7.517
decoy,-8.497,8.617
decoy,-8.491,8.588
decoy,-8.49,7.907
decoy,-8.488,8.814
decoy,-8.488,8.536
decoy,-8.494,9.516
decoy,-8.486,8.351
decoy,-8.486,8.632
decoy,-8.484,7.752
decoy,-8.483,5.984
decoy,-8.483,9.552
decoy,-8.893,9.075
decoy,-8.481,7.664
decoy,-8.589,8.931
decoy,-8.478,7.925
decoy,-8.486,7.147
decoy,-8.496,6.59
decoy,-8.63,10.782
decoy,-8.506,8.874
decoy,-9.43,10.727
decoy,-8.468,5.777
decoy,-8.479,6.107
decoy,-8.467,7.571
decoy,-8.492,9.444
decoy,-8.465,8.582
decoy,-8.467,6.965
decoy,-9.247,10.708
decoy,-8.461,7.864
decoy,-8.46,9.865
decoy,-8.459,7.526
decoy,-8.453,7.445
decoy,-8.464,9.109
decoy,-8.448,9.185
decoy,-8.447,6.724
decoy,-8.445,7.971
decoy,-8.443,10.046
decoy,-8.442,9.097
decoy,-8.442,9.097
decoy,-8.441,9.496
decoy,-8.44,8.796
decoy,-8.442,7.499
decoy,-8.434,6.453
decoy,-8.474,10.788
decoy,-9.743,10.69
decoy,-8.84,8.441
decoy,-8.428,7.427
decoy,-8.427,6.756
decoy,-8.427,8.722
decoy,-8.444,7.285
decoy,-8.426,9.854
decoy,-8.423,9.123
CHEMBL4749228,-8.423,9.478
decoy,-8.421,8.199
decoy,-8.42,7.522
CHEMBL4464070,-8.418,8.384
decoy,-8.418,8.961
decoy,-9.003,9.476
decoy,-8.413,6.523
decoy,-8.412,6.93
decoy,-8.411,9.471
decoy,-8.41,7.364
decoy,-8.41,10.226
decoy,-8.407,9.072
decoy,-8.403,6.545
decoy,-8.425,8
decoy,-8.4,11.287
decoy,-8.393,6.238
decoy,-9.788,8.309
decoy,-8.461,6.265
decoy,-8.388,6.955
decoy,-8.388,9.861
decoy,-8.388,8.819
decoy,-8.387,8.668
decoy,-8.399,11.136
decoy,-8.383,9.662
CHEMBL4560938,-8.383,8.777
decoy,-8.383,8.846
CHEMBL4749653,-8.382,8.153
decoy,-8.382,8.303
decoy,-8.383,8.573
decoy,-8.395,9.028
decoy,-8.382,9.103
decoy,-8.38,9.201
decoy,-8.389,8.621
decoy,-9.217,8.669
decoy,-8.397,7.412
decoy,-8.372,7.442
decoy,-8.39,6.326
decoy,-8.368,7.464
decoy,-8.364,9.332
