Title,glide gscore,RMSD
decoy,-9.754,6.223
decoy,-9.745,9.207
decoy,-10.023,7.972
decoy,-10.154,7.348
decoy,-9.741,7.341
decoy,-9.74,8.313
decoy,-9.742,6.852
decoy,-9.733,8.323
decoy,-9.733,7.698
CHEMBL4464070,-9.733,7.513
CHEMBL4747765,-9.733,7.513
decoy,-9.733,7.813
decoy,-9.731,8.397
decoy,-9.728,7.117
decoy,-10.792,7.892
decoy,-9.722,8.987
decoy,-9.719,5.91
decoy,-9.835,7.01
decoy,-9.718,7.633
decoy,-9.72,7.832
decoy,-9.712,7.95
decoy,-9.705,8.516
decoy,-9.704,9.803
decoy,-9.7,5.464
decoy,-10.362,9.496
decoy,-9.693,6.867
decoy,-9.693,7.074
decoy,-9.719,8.267
decoy,-9.946,6.359
decoy,-9.68,7.218
decoy,-9.688,8.118
decoy,-9.67,7.547
decoy,-9.697,6.593
decoy,-9.669,6.943
decoy,-9.66,7.836
decoy,-9.652,8.148
decoy,-9.652,8.36
decoy,-9.649,7.566
decoy,-9.653,7.126
decoy,-9.648,8.607
decoy,-9.646,6.415
decoy,-9.646,8.875
decoy,-10.604,8.127
decoy,-9.643,8.282
decoy,-9.637,6.699
decoy,-9.636,7.767
decoy,-10.327,7.669
decoy,-10.244,6.654
decoy,-9.633,8.038
decoy,-9.768,8.155
decoy,-9.627,8.213
decoy,-9.624,6.226
decoy,-9.64,6.803
decoy,-9.616,7.36
decoy,-9.615,7.608
decoy,-9.713,8.373
decoy,-9.609,6.811
decoy,-9.729,7.508
decoy,-9.607,6.156
decoy,-9.604,8.758
decoy,-9.604,6.676
decoy,-9.603,6.876
decoy,-9.592,8.54
decoy,-9.589,7.807
CHEMBL4435985,-9.587,7.771
decoy,-9.587,8.027
decoy,-9.584,7.429
decoy,-9.579,7.255
decoy,-9.599,7.817
decoy,-10.581,9.248
decoy,-9.874,7.551
decoy,-9.573,8.457
decoy,-9.571,5.478
decoy,-9.604,7.616
decoy,-9.615,7.792
decoy,-9.569,8.797
decoy,-9.569,7.346
decoy,-9.566,6.677
decoy,-9.56,7.479
decoy,-9.567,7.155
decoy,-9.554,7.453
decoy,-9.551,6.586
decoy,-9.541,7.867
decoy,-9.536,7.395
decoy,-9.566,7.505
decoy,-9.534,8.148
decoy,-9.53,7.611
decoy,-9.545,7.796
decoy,-9.519,7.273
decoy,-9.517,7.498
decoy,-9.513,8.137
decoy,-9.509,7.525
decoy,-9.508,7.113
decoy,-9.503,8.442
decoy,-9.511,8.035
decoy,-9.499,7.942
decoy,-9.503,6.523
CHEMBL4796256,-9.497,8.983
decoy,-9.497,8.393
decoy,-9.494,7.068
CHEMBL4755756,-9.494,7.736
decoy,-9.489,7.973
decoy,-10.918,9.506
decoy,-9.488,7.416
decoy,-9.486,8.18
decoy,-9.48,7.319
decoy,-9.48,7.383
decoy,-11.275,8.635
decoy,-9.483,8.329
decoy,-9.475,8.279
decoy,-10.042,6.43
decoy,-9.471,7.382
decoy,-9.47,8.609
decoy,-9.469,7.813
decoy,-9.469,6.993
decoy,-9.878,7.145
decoy,-11.299,8.644
decoy,-9.464,7.043
decoy,-9.465,8.207
decoy,-9.461,7.335
decoy,-9.459,8.143
decoy,-9.456,6.851
decoy,-9.454,5.698
decoy,-9.45,7.877
decoy,-9.449,7.382
decoy,-9.447,5.928
decoy,-9.445,7.86
decoy,-10.505,7.417
decoy,-9.449,7.431
decoy,-9.442,7.17
decoy,-9.509,7.57
decoy,-9.438,7.459
decoy,-9.437,7.757
decoy,-9.435,7.954
decoy,-9.456,8.672
decoy,-9.433,6.527
decoy,-9.433,8.442
decoy,-9.429,7.388
decoy,-9.451,6.474
decoy,-10.49,7.564
decoy,-9.424,7.626
decoy,-9.421,5.917
decoy,-9.42,8.137
decoy,-9.421,6.527
decoy,-10.056,7.6
decoy,-9.418,7.255
